p1Name,p1Tag,p1Lane,p1KDA,p1KP,p1GPM,p1Vision,p1WinRate,p2Name,p2Tag,p2Lane,p2KDA,p2KP,p2GPM,p2Vision,p2WinRate,totalWinRate
xoot,KR1,1,4.60,51.67,428.33,0.93,56.94,만수무강,0101,3,1.26,41.90,375.86,0.63,51.87,65.00
1115555414,KR0,2,3.11,41.75,355.99,0.70,70.83,Bisu,1120,2,2.67,45.47,384.33,0.76,51.08,66.67
오은깃,0708,0,4.27,55.50,289.97,2.40,49.71,Coco,SCV,4,4.89,47.10,384.21,1.06,70.00,63.64
악어의 노란 우산,장맛비,0,4.79,59.25,252.17,2.47,56.68,KOA SOBORU,궁딩이딱대,0,4.38,48.56,349.93,1.27,52.83,57.14
아이브 리즈,동민전,1,5.46,56.00,479.50,0.93,0.00,rheldqhwl,kr123,1,3.06,48.85,432.79,0.73,51.39,66.67
광 어,참이슬,1,4.82,49.40,368.84,0.86,64.41,미드게임점,1234,2,2.33,46.57,393.31,0.92,51.39,80.00
재 구,KING,1,3.67,52.00,426.71,0.60,52.59,탑미드하는사람,KR2,0,4.49,56.00,262.71,2.52,53.16,65.22
준호는 못 말려요,KR1,2,6.62,51.70,385.36,0.78,55.24,MAEUM은 챌린저,KR1,3,3.71,45.70,373.03,0.80,52.00,66.67
볼보아이언,KR1,1,5.27,53.90,418.30,1.02,50.30,F니깐청춘이다,KR1,2,4.09,47.56,367.64,0.80,48.10,60.00
갱이누나이쁘다,천 사,1,4.22,44.14,430.38,0.68,51.67,아장아장 유미,1028,0,4.82,62.25,271.93,2.19,53.19,57.14
봉풀주 블리츠크랭크,홍보대사,0,6.09,49.00,250.93,2.42,0.00,신거미,KR3,4,5.20,57.12,415.44,1.09,58.97,61.54
113 2,1966,2,4.58,55.64,458.93,0.65,50.00,IlIlIIlIllIlIIll,1111,0,3.38,49.57,250.65,2.55,54.55,65.22
반고등,KR1,4,6.35,47.56,367.55,1.06,53.25,아가1리묵념,KR2,2,4.79,45.25,293.92,1.56,50.27,90.00
정모레,KR2,0,3.39,47.78,252.44,2.44,53.59,엉덩국 갱승제로,KR1,1,2.97,49.40,399.61,0.89,52.59,33.33
새벽에롤해요,퇴근후빡겜,0,5.42,54.00,257.98,2.60,50.63,뼝 씬,KR1,1,2.88,47.54,381.25,0.49,53.89,45.45
조용히좀해라,1111,2,5.18,54.20,444.55,0.85,53.06,イスリ,9999,0,5.66,60.00,254.73,2.22,53.01,60.00
육중한몸매,2837,3,3.04,48.50,352.47,1.53,56.52,구창도,1133,0,3.48,52.57,290.65,2.00,54.73,60.00
과로사 엄마,KR1,2,4.91,47.82,364.11,0.99,59.18,맹지훈,치매걸린노,2,3.43,48.68,383.99,0.55,54.86,78.57
지성이는 힘들어,KR1,4,6.69,54.12,383.64,1.09,56.25,적 적,1992,3,3.80,41.50,330.17,1.04,53.09,66.67
북 신,KR1,0,3.98,51.00,279.47,2.73,0.00,denie,KR1,1,3.00,55.45,412.81,0.67,46.94,66.67
Kaye,KR1,2,5.54,51.12,376.00,1.02,52.55,1종보통 신지드,Dock,3,3.12,41.00,315.74,0.65,52.20,76.92
이잉사랑해요,테스트전용,1,5.44,44.00,406.10,1.08,63.74,신 첸,KR1,4,6.06,41.57,396.43,0.69,57.42,81.82
헤 매,비디디팬,2,3.53,42.00,395.93,0.58,54.33,로아하라곰,남극곰,4,4.34,44.12,427.25,0.48,54.44,59.09
아오빠빨리싸줘,KR1,1,3.55,59.00,389.52,1.54,60.25,팀 운,goat,4,2.78,47.94,371.93,0.78,52.34,76.47
자J크G,KR1,4,3.27,54.22,352.62,1.33,44.83,제갈훈,KR1,2,3.63,53.33,340.33,1.61,52.13,40.00
I Dice I,KR1,3,4.36,44.60,402.02,0.41,64.84,천원짜리정글,KR1,4,3.93,54.25,386.64,0.98,55.56,57.69
High Water,개고수,3,3.94,40.62,395.95,0.87,48.15,군계일학,정 점,1,5.85,46.50,416.25,0.57,50.41,66.67
부아아아아아아악,KR1,0,3.35,53.71,325.02,2.11,55.67,鬪 神,KR3,3,2.40,38.50,349.71,1.07,74.19,45.45
리수연,리꿀벌,4,4.41,51.60,430.28,0.91,64.71,연시내,sine,2,2.31,43.77,381.05,0.70,54.92,45.45
동치미국물시원해,KR1,4,3.91,55.00,366.09,0.89,54.72,여봐라술과계집을,KR1,3,4.30,40.87,360.40,0.86,51.28,64.29
배중석,0602,2,6.00,37.58,353.82,1.00,35.90,유워니,KR1,1,2.37,43.22,377.41,0.81,52.49,68.42
소금새우,냥이가좋아,1,4.62,51.33,437.17,0.87,72.00,기사상시모집,KR1,0,4.63,46.68,328.36,1.56,53.48,91.67
61420265del,KR1,3,2.77,41.91,373.32,0.61,55.67,OOOO0OOO0O0,KR1,3,1.62,36.85,355.72,0.67,55.75,78.57
에이셔화성간다,2222,2,4.82,38.50,380.26,0.65,58.57,구마유시,6342,1,4.41,47.27,393.75,0.78,49.37,70.59
씨유박스화이팅,KR1,0,4.29,54.00,351.92,1.42,70.97,엔믹스 릴리,kr02,3,2.17,40.32,386.10,0.64,49.56,61.54
족삼리,KR1,1,5.56,57.20,428.66,0.90,56.78,제라스 장인 성,KR1,0,4.47,44.75,280.56,1.69,53.97,60.00
