p1Name,p1Tag,p1Lane,p1KDA,p1KP,p1GPM,p1Vision,p1WinRate,p2Name,p2Tag,p2Lane,p2KDA,p2KP,p2GPM,p2Vision,p2WinRate,totalWinRate
서 아,KR99,4,3.46,56.64,406.26,0.78,52.34,my man,KR1,2,3.61,42.33,342.57,0.85,47.37,53.85
Akane Lize,사랑해요,3,3.40,41.29,377.43,0.62,0.00,Hakos 벨즈,KR1,1,5.20,44.75,377.12,1.15,66.67,42.86
포항외노자,신효승,3,4.92,47.27,406.73,0.78,35.29,빈 첸,KR1,2,5.29,31.33,358.76,0.53,53.18,61.54
프린스,kr99,1,2.66,58.50,399.29,1.32,57.14,왕 자,KR9,1,3.00,41.23,381.53,0.62,58.06,60.00
케케넨케넨,KR1,0,2.52,47.50,305.89,1.81,55.32,푸지아노스키,KR1,4,1.28,37.46,345.71,0.74,54.01,45.45
Archivermut,KR1,3,3.59,30.85,339.37,0.74,51.94,내가그랩해줄게,KR1,1,4.08,53.75,418.23,0.57,64.44,51.72
김두세,KR1,4,4.99,59.57,460.87,0.77,48.44,내가 꼭 올린다,0728,4,3.18,48.00,367.16,0.86,51.75,52.63
김두세,KR1,4,4.99,59.57,460.87,0.77,48.44,오명규 사장,KR2,2,2.63,44.18,382.88,0.81,32.26,60.00
덩석현,DUNG,2,4.08,45.22,390.37,0.95,75.00,헌영이,KR1,4,3.98,48.20,371.76,1.06,83.33,63.16
태용용,KR1,2,3.97,45.00,405.49,0.58,33.33,춘봉박,KR82,3,1.85,45.82,346.01,0.89,47.52,56.67
꿇어라토끼들아,KR1,2,3.74,40.43,384.16,0.76,69.23,찐빵가게 땡사장,KR1,0,2.90,52.00,262.20,2.06,44.00,60.71
회사불지르고싶다,KR141,3,4.69,53.84,420.24,0.93,45.45,도훈이사육사,KR1,2,3.76,46.15,375.06,0.73,0.00,63.64
회사불지르고싶다,KR141,3,4.69,53.84,420.24,0.93,45.45,소음계,KR1,4,2.95,47.69,399.75,0.79,59.46,63.64
간기능이상원딜,민우롤접어,1,3.66,48.40,443.97,0.59,63.64,빵빵앙옥지앙,KR2,0,4.87,60.67,309.77,1.78,52.33,55.00
REMASTERED,DS1,2,3.02,45.92,391.54,0.76,48.97,Dark Souls lIl,KR1,2,3.55,42.14,381.28,0.71,59.21,61.54
REMASTERED,DS1,2,3.02,45.92,391.54,0.76,48.97,황근출,KR9,3,2.37,40.12,397.26,0.64,56.60,53.85
리처드크롬웰,KR1,3,2.35,34.75,361.51,0.75,30.00,Rosy Lumien,KR1,2,2.82,38.64,338.53,0.85,0.00,31.25
독수리 명진,KR1,0,4.20,56.42,259.67,2.37,60.00,아차산 홍보대사,KR1,4,4.87,47.50,388.17,1.42,48.02,56.67
에어라인 ace,KR1,1,5.44,47.93,389.62,0.83,53.51,쟈두두,0709,3,2.96,34.88,354.59,0.79,57.69,40.00
IDNY,KR2,3,3.32,51.89,480.19,0.65,57.58,잘생긴남자가좋더라,0421,2,3.01,42.50,320.08,1.23,49.34,60.00
목현동불주먹,1234,0,6.28,51.50,282.62,2.01,54.61,원딜의기둥,1111,1,6.59,53.93,442.64,0.73,52.80,65.38
상 디,2001,0,5.42,58.12,353.57,2.10,53.33,승학산 김병만,0000,1,3.21,41.38,385.94,1.11,50.36,58.62
칠색조,하트골드,0,3.62,46.80,318.87,1.72,0.00,오 난 멀쩡해,왜괜히걱정,1,3.25,39.89,404.19,0.55,48.91,56.25
BongDrad,KR1,2,3.92,56.50,365.22,1.36,49.33,풀먹는강아지,KR1,4,3.56,52.00,367.04,1.10,49.86,66.67
BongDrad,KR1,2,3.92,56.50,365.22,1.36,49.33,양념반손오반,KR1,1,3.96,51.25,337.55,1.25,44.04,50.00
이성욱,KR2,1,4.89,50.56,391.29,0.98,62.16,서 치,korea,0,5.92,46.57,334.05,1.34,55.56,60.00
8GP,KR1,1,2.23,47.50,411.12,0.60,63.64,레넥톤,VsV,4,2.92,44.50,345.45,1.03,52.41,29.63
형제별,KR1,2,3.24,47.74,432.10,0.47,50.00,사과맛 자몽,KR1,3,2.17,34.32,331.21,0.80,61.54,45.45
WIN Easily,KR1,0,3.75,46.89,333.32,1.79,32.00,햇살해쌀,KR1,1,2.41,49.79,375.66,0.97,56.25,46.67
창자훈지,KR1,4,4.47,42.60,432.75,1.16,47.73,오지마라초보다,KR1,4,3.04,40.20,364.81,0.98,50.42,25.00
렉서흡연실,KR1,3,4.60,46.71,360.48,1.10,64.00,조 유 리,1211,1,5.15,55.23,426.98,0.60,47.54,50.00
챗칠시간에와딩해,KR1,1,4.76,54.11,408.64,0.79,60.00,유미해도 되냥,KR1,3,4.09,48.50,343.39,0.81,71.43,60.00
챗칠시간에와딩해,KR1,1,4.76,54.11,408.64,0.79,60.00,eaaaasy,KR1,4,5.10,58.30,415.45,0.76,65.52,50.00
장수곰,KR1,2,3.28,44.00,406.29,0.78,48.28,의문의 탑 장인,KR1,3,4.71,53.50,383.26,0.86,56.10,40.00
비 디,qlel,3,5.78,38.00,392.62,0.73,61.76,너를위해준비한꽃한송이,ROSE,4,4.01,41.84,332.14,0.95,40.62,45.45
해주짜나해주짜나,KR1,4,4.48,54.50,358.46,1.23,60.00,잘하면 내가있어,KR1,2,4.52,45.31,325.36,1.15,73.33,41.67
해주짜나해주짜나,KR1,4,4.48,54.50,358.46,1.23,60.00,독보적인 강자,KR2,1,4.09,48.33,393.30,0.60,53.33,40.00
신궁 주몽,KR1,0,3.98,56.50,295.67,2.34,0.00,섬바리헬프미이,KR1,1,3.23,44.43,383.10,0.74,0.00,46.15
포항박준홍,KR1,3,2.88,49.75,370.19,1.16,45.12,포항 복숭아,KR1,0,4.37,53.83,315.84,1.46,52.58,50.00
김치맨,1726,2,3.59,52.81,419.90,0.91,60.61,天災地變,1999,1,3.26,49.71,405.73,1.01,53.85,60.00
떡잎방범데,KR1,4,4.24,43.89,380.52,0.82,60.40,김대욱,KR5,2,2.66,44.23,365.99,0.85,50.76,81.82
요정봄이,겸둥이,4,2.72,49.93,403.37,0.93,0.00,낑 태 영,KR1,2,2.74,31.60,340.66,1.09,58.21,45.83
조직폭력배송창호,KR1,3,2.44,46.41,377.05,0.79,49.33,두레마늘보쌈,8994,4,5.05,60.86,412.86,0.74,50.91,57.14
HYLAC BYLAC,KR1,3,3.35,48.89,363.20,0.92,55.47,놀면 무환이,KR1,1,3.39,50.07,414.43,0.65,48.00,60.00
짹 짹,포 메,2,2.31,33.06,374.89,0.57,51.35,휴머드,KR1,3,3.04,35.00,459.75,0.64,60.00,65.38
공듀래오,KR1,0,4.39,54.21,358.38,1.54,56.25,붉은머리 샹크스,KR10,4,5.87,51.27,349.33,1.32,49.66,75.00
lIllllIllIIIl,KR1,2,5.83,45.60,374.65,1.07,78.57,쁠 라 띵 미 르,KR1,3,4.26,31.67,306.35,0.91,51.46,70.59
그날의우리,KR2,1,3.62,48.62,403.16,0.85,46.58,불끄는 소방관,0227,2,4.04,48.79,358.20,1.14,53.89,53.33
쥬지2,0925,2,4.14,48.00,348.67,0.96,63.33,BOZI,0719,4,1.80,46.30,362.64,0.75,54.55,40.74
진순이가좋아,KR1,0,4.18,48.88,284.09,2.27,63.64,당붕이,KR2,0,3.58,54.23,273.28,2.75,48.50,60.00
예비군훈련시러요,fxxk,1,5.66,47.55,375.53,1.10,0.00,그거알빠노,KR1,0,4.47,55.39,408.92,1.55,35.00,69.23
롤체만 하는 학생,KR1,1,3.72,51.25,358.70,0.95,67.92,KZ Cuzz,KR1,1,4.17,52.71,392.35,0.82,41.67,40.00
Yundol,KR1,2,3.22,41.62,375.73,0.96,51.24,98 06 21,KR1,1,6.89,52.35,387.78,1.23,42.37,76.92
Yundol,KR1,2,3.22,41.62,375.73,0.96,51.24,배차계,KR1,3,4.02,49.71,444.59,0.60,47.89,60.00
김재고,추만지기,3,4.32,43.67,424.35,1.03,66.67,Oner,kr114,4,2.76,51.32,331.08,1.49,51.49,60.00
꿈 을 꿈꾸는 꾼,KR1,3,4.06,33.33,386.84,0.32,47.25,키아나 엄마,KR1,2,2.43,42.50,426.56,0.56,66.22,55.17
mof,KR1,0,4.23,55.39,356.49,1.32,62.50,유한민,유한민,4,3.22,46.29,358.78,0.73,47.50,50.00
티모도 어려워,KR1,3,4.97,45.48,380.24,0.97,43.75,티모는어려워,KR1,2,4.41,46.82,381.60,0.99,57.34,66.67
신 비,KR2,1,4.64,51.41,397.76,1.52,50.00,불닭볶음면중독자,hot,2,2.50,40.56,342.15,1.24,52.54,28.57
희레쉬,KR1,1,6.86,52.67,437.09,1.19,55.75,강현효,5146,0,3.99,49.12,332.92,1.50,49.21,63.16
귀여운 스페,KR1,1,3.60,64.00,408.93,0.83,54.55,응 내,롤착사,0,4.79,56.43,302.20,1.81,48.67,42.86
롤로노아박종원,KR1,1,4.05,46.00,409.70,0.86,69.23,늦둥이 지훈아빠,KR1,0,3.42,59.50,271.05,2.62,52.25,66.67
규 모,KR1,1,3.54,46.39,420.94,0.54,53.09,리타하,KR1,0,2.25,40.89,291.75,1.25,46.05,33.33
으르차키트,KR1,4,9.45,57.00,445.90,1.12,0.00,抖音薄荷冰鸟,zyzp,2,4.91,55.75,384.26,0.94,83.82,90.48
홍바동,KR1,2,5.83,52.08,428.49,0.61,40.00,김점구,KR1,4,5.25,56.80,368.54,1.28,37.14,71.43
69700364del,KR1,4,4.18,47.45,415.84,1.12,65.91,빵디흔들어봐,KR119,1,4.59,45.75,410.89,0.41,68.42,70.00
Pray,KR6,1,3.16,42.93,367.27,0.80,42.31,릴건우,KR1,4,6.13,54.80,361.99,1.24,0.00,62.50
군밤낮,KR1,3,5.02,51.58,427.41,0.72,37.65,쉴드주는희지니,KR1,4,6.31,43.00,373.37,0.79,62.50,73.33
1YearOiler,KR1,2,1.97,35.38,340.63,1.08,50.00,Airysm,KR1,3,3.82,46.08,378.85,0.84,40.00,63.64
jin,0217,1,3.03,52.17,427.95,0.91,53.41,밤양갱,255,0,3.05,52.50,296.89,1.63,59.13,40.00
gusidvhdskl,KR1,3,5.13,47.14,394.68,1.24,0.00,純愛z,027,1,4.05,51.10,373.67,0.96,55.11,73.33
Zed,0222,2,4.22,45.85,468.52,0.62,73.08,로켓라쿤,КR1,3,2.03,31.89,390.15,0.73,54.84,70.00
관세음보살님,KR1,0,4.40,56.85,265.97,2.20,53.68,AD Carry Maker,SUP,1,3.72,46.06,390.49,0.91,53.31,65.00
닉변당했어요,KR1,4,3.99,56.13,427.08,0.73,54.72,IBK기업은행최대리,KR2,0,3.35,54.11,370.96,1.07,0.00,35.00
박성비니,KR1,4,3.60,49.15,447.39,0.70,52.91,Crash and plash,KR1,1,5.65,46.33,352.01,0.99,47.73,65.00
Fnc,0402,1,3.61,48.35,391.08,0.76,45.95,이게끌리네,KR1,0,2.54,60.67,368.41,1.57,52.50,42.11
15646161,KR1,3,3.38,39.36,372.65,0.53,62.83,이 름,KR 1,2,5.44,50.89,415.45,0.52,66.67,37.50
졔간둥이,KR1,0,5.89,46.69,353.26,1.09,53.91,히히성성,KR1,1,2.98,54.95,439.87,0.79,52.17,47.37
90년생 프로지망,KR1,4,4.17,55.00,381.61,0.91,57.14,환상동물사전,KR1,0,6.03,45.12,254.10,1.99,65.38,68.18
응애 나 애기멍멍,KR1,4,4.61,55.13,429.56,0.79,46.15,야디언식기우제,KR02,0,2.63,47.67,271.71,1.83,45.00,52.94
MISTER FIzz,KR1,2,3.68,53.71,403.98,0.94,0.00,악어먹은맷돼지,KR1,3,3.83,40.95,348.01,0.81,52.63,42.86
배강민,111,4,3.59,49.20,382.06,1.13,47.54,하 니,팜하니팜,1,4.96,41.21,366.50,1.08,47.22,58.82
천녹용방,KR1,2,5.47,52.42,345.43,1.55,66.67,환희창,축수선수,3,4.03,43.75,352.74,1.08,42.86,58.62
무자비한말세짱,무자비,1,2.68,45.82,368.02,0.70,44.74,이번시즌플레티넘,KR1,2,3.20,45.18,344.06,0.99,53.06,64.29
존슨앤존슨욱,KR1,3,4.00,41.21,395.83,0.97,57.41,센스쩌렁,KR1,0,1.95,50.00,287.89,2.36,51.63,91.67
개믕츠이,KR1,0,2.99,59.20,358.85,1.11,53.19,아펠리오스,6330,1,3.19,54.87,355.63,0.89,40.00,46.67
해도앞구르기,KR1,1,3.33,41.63,360.42,0.62,48.89,주의 개조심,KR1,3,3.73,40.95,435.85,0.70,62.79,53.85
동국신,KR1,1,2.69,42.50,392.54,0.57,47.92,스피너즈,KR1,0,3.99,51.24,367.73,1.58,51.22,80.00
Sweet Score,KR1,4,4.29,50.07,340.60,1.25,0.00,Josjua,KR1,1,3.90,46.25,366.46,0.77,51.14,57.14
다 오,3679,3,2.61,48.43,393.80,0.85,48.47,민 곤,보들보들,4,3.36,51.00,407.37,0.64,49.55,40.00
3심 유죄 이재명,나 무죄야,1,3.54,45.15,381.63,0.86,57.58,파란드럼통 난타장인 이재명,3심무죄,0,3.58,38.62,281.18,1.63,40.00,50.00
오소리,벌꾸울,1,3.05,43.10,394.04,0.74,50.00,도레미,꼬마마법사,0,5.70,51.25,256.74,2.42,46.15,53.57
타살각,KR1,2,4.68,45.11,402.19,0.84,0.00,송도원탑김규원,KR1,0,2.88,46.90,330.63,1.06,45.45,56.25
짬통계정,KR1,2,4.34,44.73,385.76,0.88,37.50,미 드,KR9,2,2.32,42.00,371.14,0.60,57.81,76.92
흘러가는대로살기,KR2,0,6.43,62.25,250.06,2.25,0.00,하나도안미안해,KR3,1,5.61,65.73,471.33,0.72,0.00,50.00
좌파탈출은지능순,정신병,3,3.21,45.47,390.36,0.90,44.85,おいしくなれ,좋아요,4,2.03,45.40,357.62,0.94,49.36,64.29
팜하니,개귀엽,4,3.10,48.47,357.62,0.96,53.44,JustLikeThatKR,1259,3,3.29,49.50,345.07,0.91,33.33,50.00
크리스티아누 호날두,SUUUU,1,3.08,53.22,412.98,0.69,72.41,21401238del,KR1,0,2.30,41.69,289.97,1.89,76.92,55.56
2022년3월20일전역예정자임,KR1,2,3.04,46.62,396.13,0.87,52.50,열심히 살다보니 애가 셋,사십대,0,3.25,55.50,344.74,1.43,41.27,60.00
2022년3월20일전역예정자임,KR1,2,3.04,46.62,396.13,0.87,52.50,이 차가 식기전에,헤카림,4,2.33,50.28,369.44,1.09,0.00,57.14
TNT날나리,KR1,2,3.51,38.64,356.15,0.69,64.29,zerone,제론01,2,2.14,41.50,377.82,0.75,60.00,52.63
생배 챌 도전기,KR1,4,4.13,53.65,456.48,0.65,60.00,йika,KR1,2,3.97,43.82,392.26,0.84,56.25,45.00
라온눈나,0922,2,5.22,54.36,416.25,0.95,70.83,돼G1,KR1,4,3.06,42.75,375.66,0.98,56.36,58.33
숟가락인권보장4,KR1,0,5.91,55.20,409.35,1.19,57.14,TOP,가락킹,1,4.23,53.65,422.63,0.95,40.74,66.67
호 구 생 귤,KR1,0,5.98,61.40,296.05,2.40,42.39,tui xian plz,cat,1,3.40,51.56,423.98,0.75,0.00,62.50
우리도언젠가흰수염고래처럼헤엄쳐,KR1,0,4.96,63.31,309.86,2.73,66.67,아니진짜머해,kr25,1,3.40,53.89,429.02,0.58,55.80,64.29
우리도언젠가흰수염고래처럼헤엄쳐,KR1,0,4.96,63.31,309.86,2.73,66.67,패륜아 담당 일찐,KR1,0,4.25,62.00,290.07,1.77,54.10,63.64
이탓저탓,주저리,1,5.93,49.62,409.49,0.81,42.47,섹시큐티종민,1004,4,3.19,43.50,367.27,0.73,50.00,71.43
후니쨩,후니쨩,3,3.31,48.19,407.47,0.51,57.41,담배찌든연어초밥,kr2,4,4.17,51.67,385.52,0.87,63.75,46.67
서폿으로캐리가능,KR1,0,2.76,47.11,287.32,2.38,54.41,암 살,75577,4,5.65,53.25,430.66,0.80,48.94,57.14
서폿으로캐리가능,KR1,0,2.76,47.11,287.32,2.38,54.41,캐리머신이었던것,KR1,3,4.24,38.67,328.32,0.67,57.00,66.67
무현과 노럼프,KR1,2,4.77,35.71,417.01,0.56,65.62,적신야,KR1,0,2.59,48.00,309.95,1.44,48.26,70.00
コイカゼニノセテ,BSS,0,2.76,47.71,322.83,1.13,85.71,blue,ADC11,4,2.44,45.17,370.58,0.75,43.75,41.67
회사원 현우,KR1,4,6.04,58.52,442.12,1.02,51.79,울팀 개모데,KR1,2,5.69,43.31,415.00,0.76,27.27,60.00
코리아다이아몬드유미퀸,KR2,0,5.53,51.64,283.86,1.83,52.15,널저패겠다,0813,0,2.91,48.50,310.60,1.21,47.62,73.91
송병규 권민준 전화 그만해,태우가,3,3.04,34.36,361.54,0.53,61.34,김 밥,KIM,4,5.73,53.33,434.86,0.73,51.01,30.00
박성무,KR2,4,3.63,57.37,425.64,1.06,53.12,긴점박이올배미,owl,3,3.43,48.74,365.98,0.70,50.00,57.89
아기똥덩어리,0604,2,2.67,45.00,368.30,0.78,47.83,O匸大O  从人巨大,KR2,3,3.09,39.56,357.22,0.62,53.92,38.89
orca4,KR1,1,3.00,53.29,439.27,0.78,48.76,내가먼저사과하자,KR1,4,3.79,48.53,413.06,0.92,54.17,71.43
harang0310,KR1,3,4.79,46.79,413.77,1.10,51.76,tnth ,KR1,1,4.77,47.04,386.44,0.86,54.19,61.54
Hide on bush,08828,4,3.74,51.50,384.59,0.99,36.36,갈리오,갈리오선생,2,2.70,39.67,360.69,0.95,30.77,40.00
내가만든쿠키,njs,4,6.08,38.23,360.78,0.74,0.00,머 리,kr3,2,4.31,44.57,385.34,0.57,56.43,76.19
원샷 원킬 베이가,KR1,2,4.63,48.77,369.63,0.94,53.33,에라모르겠,GOAT,1,3.61,49.61,396.72,0.77,60.00,60.00
Car the garden,KR33,1,5.68,59.00,441.44,0.81,0.00,박박시현,KR1,0,4.44,46.85,370.93,0.94,63.33,66.67
Cini,KR1,4,3.66,58.08,377.97,1.06,49.15,나지보,KR1,3,2.21,26.60,327.59,0.47,0.00,46.43
플레이리스트겨울,KR33,0,4.34,56.00,284.61,2.34,51.28,Rio,흘러가,1,3.30,60.06,392.26,1.36,0.00,43.75
아현이는 잘해,KR1,0,4.84,50.50,347.31,1.44,0.00,백문대 정해인,KR1,2,2.20,41.50,385.90,0.88,50.70,59.09
민규부계정,KR1,2,3.31,52.62,423.62,0.93,69.57,병장 박준석,KR1,1,4.30,43.14,387.63,0.81,50.72,63.33
DRX SAN BY,KR1,3,5.81,49.83,458.89,0.64,48.48,수끼끼,KR1,2,2.77,42.89,389.56,0.61,31.82,73.08
아이번,숲지기,1,5.16,57.50,372.25,0.55,51.38,깔 치,Angel,0,5.39,42.43,251.73,2.19,37.18,58.82
팔춘식,sinan,3,2.29,36.27,343.47,0.59,60.00,one and zero,KR1,4,4.61,53.26,387.91,0.81,46.53,35.71
으이구벌레양,0308,0,2.71,43.72,346.14,1.45,41.67,펭 구,7776,4,3.48,50.30,376.53,0.83,52.94,47.62
빅현배 간이변기,KR1,1,4.76,50.67,426.96,0.97,58.46,필 상,KR1,0,2.74,50.57,363.27,1.14,52.07,61.90
튀르키예서커스단원숭이,ukiki,3,4.40,44.00,399.53,0.57,33.96,마추픽추서커스단원숭이,UKIKI,4,4.69,47.74,384.61,1.20,50.32,73.33
감자의공허,KR1,2,2.64,48.42,372.38,0.84,58.33,무시기불래,KOR,4,4.37,38.50,342.24,0.58,50.53,45.45
얼다바람,KR1,1,4.55,40.22,423.65,0.51,57.14,ZlRAlMA,KR1,0,2.40,44.55,309.38,1.71,54.55,64.71
리로이젠킨쓰,KR1,0,5.07,48.12,280.69,2.06,46.67,sdkfywqwe,KR1,1,4.46,50.94,423.40,0.74,42.86,66.67
RyuDI,KR1,3,4.19,41.60,406.16,0.77,68.89,레전드바지,KR2,2,2.81,47.07,367.97,0.75,49.25,57.89
할래말래,KR232,1,5.09,52.20,392.84,0.81,55.06,김허정,KR2,0,4.43,44.78,360.68,1.27,51.88,50.00
다시 해보자,SSS,1,3.68,45.83,411.06,0.95,65.15,강해린,4544,2,2.28,47.75,436.90,0.68,50.77,73.33
카서스못하는사람,본 계,2,4.85,54.46,350.97,1.41,47.14,탑에 몸이 베인,KR1,1,2.44,48.56,381.83,0.97,42.86,30.77
나보셈 개오짐,KR1,2,4.56,50.21,376.44,0.98,42.86,나보셈 개잘함,KR1,3,2.91,33.11,373.37,0.56,48.00,43.75
노무현,하나 회,4,3.85,44.50,412.71,0.99,56.82,이승만,하나회,0,4.42,53.30,331.68,1.54,60.00,50.00
랭게임은정글,KR1,2,3.91,51.54,380.88,1.13,51.28,operationer,KR1,4,3.95,51.94,369.63,1.30,56.32,60.87
2U35,2635,0,5.01,55.00,372.65,1.18,51.52,명찬팀 정글,라이한아지,4,3.48,47.23,342.25,1.09,52.22,50.00
빵댕이는 귀여워,빵댕이,0,3.84,51.10,264.09,2.26,42.68,아인시에르,KR1,1,3.92,53.20,429.36,0.72,41.82,57.89
영숙보이,KR1,4,4.15,47.16,375.60,0.81,66.67,만렙그지,KR1,1,3.88,46.36,379.49,0.78,53.97,40.00
뚜따영웅,잘모해따,4,3.42,46.50,333.27,1.22,71.43,제거대상1순위,NOone,3,5.39,49.45,389.41,1.00,0.00,40.00
오너 를좋아해,KR1,0,5.50,61.17,278.59,2.34,0.00,게임어떻게이겨,KR1,3,1.90,35.44,386.46,0.41,49.05,68.75
에릭센,1201,1,4.48,50.15,397.75,1.08,0.00,돼 지,농 장,2,2.45,34.50,332.59,0.90,55.68,57.14
에릭센,1201,1,4.48,50.15,397.75,1.08,0.00,해리 케인,1201,3,3.95,37.36,369.05,0.63,56.82,57.14
woo v 2,KR1,1,3.61,51.82,369.34,1.11,53.19,정해인,9830,2,2.73,38.55,361.59,0.54,33.33,54.55
woo v 2,KR1,1,3.61,51.82,369.34,1.11,53.19,Greenday,못년담피,0,2.81,50.33,309.59,1.73,50.53,50.00
도레미파솔로시파,KR1,0,4.57,49.75,340.67,1.46,58.82,MIDKING,1013,2,1.81,45.17,352.56,0.92,58.62,55.17
설 이,0716,0,6.15,55.33,263.73,2.31,54.00,ÈŽ용,1999,2,3.70,43.40,389.65,0.94,72.83,79.17
윤명섭,KR2,4,4.00,48.70,428.07,0.93,51.02,윤명섭,KR1,2,3.20,44.39,384.21,0.60,33.33,57.14
똥과햇반,마디뗘,2,4.12,49.83,420.41,0.81,56.25,미아생존핑찍으면안함,벌레들아,4,4.81,38.94,367.97,0.86,58.33,71.43
채 댕,KR1,4,5.15,60.20,447.69,0.89,59.05,Lv99 혁구리,KR1,2,3.29,44.59,378.68,0.54,51.21,69.57
용사맛 쿠키,혜킹덤,2,3.64,41.62,348.86,0.94,0.00,이용우,0728,3,3.45,46.25,387.26,0.67,58.14,53.85
해먹에서꿀잠,KR1,1,5.12,46.86,422.68,1.00,0.00,으악도망가,KR2,0,4.09,49.67,323.62,1.82,51.78,66.67
같이 가요,레츠고,1,3.01,46.43,401.03,0.72,52.94,무자비한 부엉이,KR1,2,2.98,41.23,389.48,0.76,44.44,60.00
백마탄김태희,5644,4,3.80,48.00,413.10,0.91,53.70,2 광 ,KR1,1,2.96,47.26,444.63,0.99,57.58,63.64
다정한부부,KR1,2,2.54,44.41,383.86,0.69,58.93,닉넴짓기쉬워,KR1,1,1.97,47.27,390.87,0.56,53.79,60.00
Presence,KR1,2,5.78,47.60,392.39,0.99,57.14,Jxxdxxx,KR1,3,2.06,36.55,371.38,0.86,50.00,66.67
뚱 이,2494,1,4.34,52.11,407.65,0.56,52.38,숑 숑,KR1,0,4.92,54.43,281.84,2.20,0.00,62.50
봄을닮은,GH0,4,3.72,50.00,361.85,1.13,50.00,전설의파수꾼,Nuri,1,3.22,51.70,382.88,0.71,50.00,39.29
자기야 제발 그만,츄르릅,1,2.82,42.25,377.39,0.70,46.94,자기야 제발 그만해,뀨루룩,0,4.03,45.00,254.19,1.69,45.74,53.33
좋은 말로 해,KR1,2,3.83,43.00,361.19,0.67,0.00,화안냄,KR1,4,4.10,54.29,365.73,1.39,49.89,35.71
선 우,MID,2,3.78,48.89,399.16,0.51,73.33,노윤서,예쁘다다,1,2.33,44.71,368.07,0.60,56.65,66.67
이짬동,KR1,2,2.81,45.33,382.95,0.77,64.71,빅 브라더,BBRO,3,2.90,43.11,299.66,1.02,48.31,25.00
슈펄티모,KR1,1,5.50,47.24,394.80,0.81,60.94,tato,KR1,0,7.10,50.40,248.85,1.90,57.50,66.67
아스마토키 피스,0816,1,4.65,53.62,418.50,1.24,56.30,legens,KR1,4,3.97,50.54,346.29,1.20,48.48,70.00
랩으로 인류의 절반을 죽이겠다,KR2,2,5.76,48.00,382.94,0.78,27.27,시  이  바,KR1,0,4.39,56.25,343.31,1.59,46.15,52.38
周心语,99999,3,5.54,58.38,398.01,1.55,78.95,Warriors Riven,KR1,2,3.48,43.00,362.82,0.29,47.54,73.68
周心语,99999,3,5.54,58.38,398.01,1.55,78.95,Lâm Triều Anh,99999,2,4.00,43.86,380.13,0.72,50.00,81.82
KRLeejiwon,KR2,2,2.02,48.06,407.40,0.55,62.07,전투 기계 Zac,KR1,4,3.70,48.00,318.30,1.02,51.35,50.00
kim ju whan,KR1,4,5.21,50.33,376.42,0.94,47.76,간시의 숲,KR1,3,3.33,46.33,348.32,0.98,52.38,60.00
egamhcra,KR1,0,4.53,51.36,347.90,1.39,53.74,Dvlop,KR1,1,2.67,39.40,406.47,0.82,50.00,56.67
금환영,KR1,3,5.17,42.71,382.49,0.95,0.00,석대 형,KR1,3,1.83,43.58,366.18,0.76,48.48,53.85
허거덩,msms,3,4.23,50.39,383.44,1.15,54.43,묵언수행,MsMs,1,3.59,41.62,362.98,0.65,51.35,46.43
나아가시오,KR0,0,2.78,54.00,308.75,3.03,49.89,Hide on buph ,KR1,2,3.87,47.31,407.69,0.97,44.78,30.00
늘 슬 아,7600,2,5.46,49.43,418.83,0.59,51.11,오해원,top,3,2.00,33.81,355.13,0.43,47.87,70.83
수저통 속 숟가락,KR1,1,4.44,48.16,422.23,0.72,50.00,도구함 속 핫도구,KR1,0,4.66,57.20,286.52,2.76,0.00,84.62
수저통 속 숟가락,KR1,1,4.44,48.16,422.23,0.72,50.00,아도아,KR2,4,4.56,46.57,392.97,0.99,46.08,40.00
온리팬스정기구독이민서,결제부탁,4,3.09,44.31,343.38,0.87,53.33,부발역수호신이민서,0909,0,4.27,48.25,377.59,1.45,49.23,20.00
은 쌤,KR1,1,4.21,51.17,400.78,1.16,45.67,창 막던지면 막창,KR1,2,4.91,45.14,390.15,1.01,50.00,56.25
나의부하범승,8089,1,2.57,46.58,430.54,0.81,54.72,이의동피자도둑,5784,1,2.74,56.23,331.37,1.63,51.26,48.28
2073498,KR1,2,3.86,42.29,391.46,0.72,48.70,종 건,비가오면,2,1.43,36.44,355.03,0.76,50.41,40.00
두부치기,KR1,0,4.58,61.55,342.42,1.53,49.06,Margiela,KR1,3,3.82,40.55,364.94,1.18,55.00,72.73
Eden Hazard,KR2,1,2.93,55.25,408.52,1.08,53.33,하프물범,머그꺼야,1,5.16,54.62,410.53,1.14,52.63,41.67
제발갱좀와주세요,1111,3,3.88,45.21,386.64,0.72,50.63,믿고 화합하다,KR1,3,4.26,46.00,395.20,0.85,12.50,47.06
황카츠키,KR2,1,4.67,43.00,375.30,1.22,57.45,Ares10,KR2,2,2.11,44.08,417.30,0.52,50.24,50.00
영웅한두,KR1,4,4.21,56.33,410.15,1.04,47.06,Akuma,rgr,1,4.01,52.75,405.70,0.60,58.39,36.36
닐로오다,KR1,2,5.16,48.05,383.95,0.56,23.08,무지성사이드,망나니,3,3.04,48.61,403.94,0.64,50.00,43.48
태영덩이,KR1,2,3.40,49.60,404.40,0.64,50.96,롤고수1호,KR1,4,3.62,61.00,382.64,1.11,49.06,25.00
강철크레용,KR1,1,5.20,53.38,410.72,0.47,61.90,지 질,KR1,0,4.87,58.67,276.82,2.29,53.37,62.50
