,p1GameName,p1Tagline,p2GameName,p2Tagline,winrate
325,김창영,KR1,깡패민우,KR1,76.47058823529412
326,김창영,KR1,ghanyi,KR1,58.333333333333336
327,개 민 수,1559,김준석,9485,73.33333333333333
328,애국한양선봉공대,열혈에너지,태 쿡,KR1,40.0
329,지구는 네모다,각개전투,패왕 김찬,KR1,64.0
330,연 식빵,KR1,하 마,4639,58.82352941176471
331,냥멍냐냥,KR1,연 슬,εïз,60.0
332,제발핑좀들어제발,KR1,Born to be,Life,33.33333333333333
333,왜또뭐가문젠데,KR1,해적왕이된사나이,KR1,46.15384615384615
334,Vsync,KR1,Amnolys,KR1,70.0
335,단단묵직탄탄,KR1,아니진짜머해,kr25,68.75
336,유브2,KR2,심술두꺼비,건들이지마,66.66666666666666
337,김순혁,KR7,호호허허히히,KR1,52.94117647058824
338,kogie,KR1,DAK kogie,KR1,53.333333333333336
339,타워에서받아먹자,KR1,동탄 최재혁,KR2,57.14285714285714
340,쫏해피롱,KR1,T1 Keria,sk1,56.666666666666664
341,있긴있잖아,KR1,설탕닢,Maybe,46.15384615384615
342,태 양,KR111,장례식장에서윈드밀,kimch,44.827586206896555
343,볼베보다콜라잘빰,KR1,꽃 피면 돌아갈게,KR1,43.75
344,MelodySound,2853,아이스초코빵,5885,50.0
345,김대중,QWE,백 호,132,44.827586206896555
346,초코라떼먹고싶당,KR1,나 김지율 행동으로 보여주겠다,KR2,66.66666666666666
347,개구리 뽀글이,4700,김재힝,KR1,38.46153846153847
348,원조쎈놈,KR1,Looz,KR1,47.368421052631575
349,영도구 사포장인,138,공부접다,KR1,44.44444444444444
350,원하는게 없,KR1,쓸모없는서어폿,KR1,73.33333333333333
351,Rsyozu,0517,작 촌,KR1,20.0
352,한 통 속,KR2,뭐하냐ヲヲヲヲ,ヲヲヲ,65.0
353,저글링,5050,진해김승달,1111,81.81818181818183
354,힐써도 죽어,KR1,개변태,개변태,77.77777777777779
355,힐써도 죽어,KR1,연습용계정,7911,27.27272727272727
356,동생누나,0807,리산드라,kr71,85.0
357,동생누나,0807,첫 눈,kr33,40.0
358,장금순,KR1,Sh BIN,KR1,48.0
359,잣 야,랏 칸,오줌싸개,7744,48.148148148148145
360,소금이 죽으면,죽 염,송파구 치료사,0624,33.33333333333333
361,치즈카츠,돈카츠,927화요일,KR1,70.0
362,나뒤만보고갈래,KR2,환 희,폼미치따,70.0
363,경 민,0126,정신꽉잡아,KR1,70.83333333333334
364,베인허벅지핥짝핥,KR1,미션달성이벤트,KR1,47.05882352941176
365,찌앙크미,KR1,공3업시즈탱크,KR3,53.84615384615385
366,메 스,KR1,2종보통 누누운전,KR1,63.63636363636363
367,Jazz Standard,KR1,오버액션꼬마곰,KR1,40.0
368,가지무침,가지가지,방구뀌고싶다,0606,66.66666666666666
369,빵굽는 유미,블랑제,내가조련한야옹이,KR1,35.294117647058826
370,힘들게하지마렁,KR1,sorry my bad,0123,62.5
371,봄날의 햇살,smile,나이먹기싫다,3686,40.0
372,nniqp,KR1,천하무적양짐승,KR1,38.46153846153847
373,용감하지못한사람,KR1,절실하지못한사람,KR1,51.724137931034484
374,TGS NaRak,KR1,너만의겜을해,mute,64.0
375,메 리,KR11,ReturnZER0,KR1,61.53846153846154
376,메 리,KR11,죽기아님까무러치기,칠전팔기,50.0
377,이설아,GoetY,왕소금,니집가,60.0
378,blue,khkh,소름돋는일반인,KR1,55.172413793103445
379,천 사,42151,도이치 모터스 ,KR1,78.94736842105263
380,zkxh,KR1,坚固而沉重,鄭聖勳1,60.0
381,쑥쑥지느러미 멀록,111,MC武鉉,0523,45.45454545454545
382,징계 is my life,KR1,내잦이는황금잦이,KR1,76.92307692307693
383,초록내복트타,KR1,엄청 아픈 모기 ,KR1,62.96296296296296
384,Skitty,KR1,파카해적단,파카조아,56.25
385,qwerasdfzxfvhila,KR1,zI존최강재원S2,KR1,55.55555555555556
386,qwerasdfzxfvhila,KR1,젱 너,KR1,80.0
387,홍봉자,KR1,내가간다123,KR1,41.66666666666667
388,바 큥,KR1,이 서,022I,62.96296296296296
389,김다빈,BIN,정환이는 못말려,KR1,100.0
390,김다빈,BIN,포항양현서,KR1,72.72727272727273
391,street,vibe,오창섭,gang,54.54545454545454
392,유석킴,KR1,ELELELELE,KR1,53.84615384615385
393,인혁이달린당,KR1,김규민,RG20,44.0
394,문희영,KR1,vazirac carlcox,2027,53.333333333333336
395,장애인라이너들,2001,포기는배추셀때나하는말이다,kr2,36.36363636363637
396,도 구,망나니,매혹적인 구미호,KR1,70.0
397,종줍는 생쥐,KR1,あやふや,1100,60.0
398,빠담바담,KR1,bongjourlife,KR1,50.0
399,숙련도LEVEL5,KR1,오리옆구리,Duck,56.25
400,호야치,KR1,폐관수련하는사람,2457,66.66666666666666
401,도구는받들라,KR1,허 니,9905,82.35294117647058
402,아추워추어탕,5555,밤빵2,KR2,61.111111111111114
403,가나다마나,KR1,내가귀여워서미안,5870,58.333333333333336
404,혁수문,KR1,OI성주,KR1,91.66666666666666
405,똥 영,0418,오 때,오 때,72.72727272727273
406,화내는사람,화난다,에코넘어질때에코,KR1,54.54545454545454
407,CAPS,KR2,배뭉뭉댕,뭉냥뭉냥,76.92307692307693
408,애웅 김애웅,KR1,마라도복어,KR7,50.0
409,acme de Ia vie,KR1,夜 叉,Club,57.14285714285714
410,개잘죽,KR2,뜨거운고구마,1122,50.0
411,박 하,박 하,뽀 미,2007,46.15384615384615
412,비련시,KR1,나무숟가락,숟가락,60.0
413,일본인,KR3,oasis,1697,73.33333333333333
414,나는야현빈,KR1,LOLOch,KR1,64.70588235294117
415,꺾이는 탱커 ,KR1,The Crazy,애미아,60.0
416,방 크,KR1,i am jg,의 정,52.38095238095239
417,투리한유명구슬,8947,기무예준쿤,KR1,70.0
418,탑 노플 오면 킬,KR1,김x현,KR26,72.72727272727273
419,냉면은,물냉면,다영이는 듀아아아아,KR2,63.63636363636363
420,커버못가요,KR1,Amane Kanata,0422,65.21739130434783
421,아득한 밤,KR1,ting ring,KR1,80.0
422,나는 이 게임을 해봤어요,4560,어스름늑대,KR777,60.86956521739131
423,발 쿠 니,KR1,광명돌주먹,KR1,50.0
424,장원욱,KR1,앙노니,KR1,69.23076923076923
425,장원욱,KR1,박지원,KR8,30.0
426,대깨메,KR1,주하성똥냄새,6126,46.15384615384615
427,Streuselkuchen,KR1,Rest In Hope,KR1,53.333333333333336
428,정신과4범,올라프,Show n prv,KR1,57.692307692307686
429,めへめ,かわい,Lv 1 샨구리,KR1,73.33333333333333
430,고기고기물고기,KJY,宵崎奏,引きこもり,33.33333333333333
431,여왕새싹,KR1,캇 쨩,KR1,67.85714285714286
432,오로롱,오창창,OεO,0425,60.0
433,달려라흑순,KR1,251126,vvv,50.0
434,20260128만기전역,0128,O c O,XXXXX,30.76923076923077
435,자두에이슬,KR1,곤듀는탑갈래,KR1,68.42105263157895
436,아카네 리제,SANA,한 판 더,KR2,70.0
437,도깨비,gods,괴 물,무자비,70.0
438,철판무릎,KR1,박 통,0106,50.0
439,주다스,KR1,때리는 형태의 노진구,도태한남,46.666666666666664
440,고유성,KR2,손 1,KR1,23.076923076923077
441,우 건,2002,코끼리호랑이사자,KR1,58.333333333333336
442,태연이러버,KR1,매너채팅해,KR1,53.333333333333336
443,뿔테안경,KR1,coddl,KR1,37.03703703703704
444,망나니귀환,1112,불친절한정글러,KR1,50.0
